,Length,Language,Messsage
320,1,Chinese,浅蓝
321,4,Chinese,深绿 不偏黄
322,3,Chinese,最亮的紫色
323,1,Chinese,蓝色
324,5,Chinese,不是红色不是亮绿色
325,2,Chinese,草绿色偏亮
326,2,Chinese,绿色偏黄
327,1,Chinese,黄色
328,2,Chinese,是的
329,1,Chinese,浅蓝色
330,1,Chinese,灰色
331,1,Chinese,紫色
332,1,Chinese,紫色
333,1,Chinese,绿色
334,1,Chinese,草绿色
335,2,Chinese,是的
336,3,Chinese,最亮的粉红
337,2,Chinese,粉红色偏亮
338,1,Chinese,绿色
339,5,Chinese,灰色不是蓝色不是紫色
340,3,Chinese,绿色偏淡蓝色
341,2,Chinese,偏黄色
342,2,Chinese,不偏黄
343,1,Chinese,深绿色
344,2,Chinese,绿色偏亮
345,4,Chinese,一直没办法连接
346,1,Chinese,你好
347,1,Chinese,你好
348,3,Chinese,要选哪一个
349,13,Chinese,我这边没有荧幕出来下面还写着“等待另一人连接
350,2,Chinese,啊奇怪
351,3,Chinese,该怎么办呢
352,2,Chinese,实验*
353,2,Chinese, 红色
354,2,Chinese, 红色
355,2,Chinese, 红色
356,1,Chinese,你好
357,5,Chinese,青草的颜色但较浅
358,9,Chinese,我这边有三个都比较深的颜色
359,1,Chinese,黑色
360,6,Chinese,要下雨时通常天空会
361,1,Chinese,深灰色
362,2,Chinese,再淡点
363,3,Chinese,青草的颜色
364,10,Chinese,我这边有两个绿色是不是更亮一点的那个
365,1,Chinese,对
366,2,Chinese,最亮的
367,3,Chinese,较不同的
368,2,Chinese,最亮的
369,5,Chinese,比较接近女生的颜色
370,1,Chinese,绿色
371,1,Chinese,不是
372,6,Chinese,另外两个都很像灰色
373,3,Chinese,是棕灰色
374,3,Chinese,比较粉的
375,2,Chinese,粉红和
376,1,Chinese,紫色
377,2,Chinese,不亮的
378,2,Chinese,粉紫
379,1,Chinese,黄
380,1,Chinese,粉色
381,4,Chinese,比较接近大地的
382,4,Chinese,不是亮的粉
383,3,Chinese,偏蓝的绿
384,1,Chinese,深蓝
385,1,Chinese,大地
386,1,Chinese,亮粉
387,4,Chinese,比较深的紫
388,6,Chinese,不是偏粉的紫 不亮
389,1,Chinese,亮粉
390,1,Chinese,灰色
391,2,Chinese,不偏蓝
392,3,Chinese,最沉的绿
393,4,Chinese,不偏粉的紫
394,3,Chinese,绿色 不太棕
395,2,Chinese,比较灰
396,1,Chinese,灰色
397,1,Chinese,亮粉
398,1,Chinese,黄色
399,1,Chinese,大地
400,1,Chinese,灰色
401,2,Chinese,最亮的
402,3,Chinese,最亮的绿
403,1,Chinese,粉色
404,1,Chinese,蓝色
405,7,Chinese,三个中 排行第二亮的
406,1,Chinese,绿色
407,5,Chinese,橙色 很橙的
408,1,Chinese,紫色
409,1,Chinese,浅粉色
410,4,Chinese,比较暗淡的绿
411,3,Chinese,偏紫色 
412,2,Chinese,偏粉红色
413,7,Chinese,最普通彩盘中的亮青
414,1,Chinese,蓝色
415,9,Chinese,不是最亮的 剩下两个中偏淡的
416,1,Chinese,绿色
417,1,Chinese,偏绿
418,10,Chinese,不是最亮的 剩下两个中不偏淡的
419,1,Chinese,绿色
420,2,Chinese,亮蓝色
421,6,Chinese,请问第一轮目标颜色是什么
422,2,Chinese,是浅蓝色
423,1,Chinese,你好
424,2,Chinese, 黑色
425,2,Chinese, 红
426,2,Chinese, 绿色
427,1,Chinese,你好
428,1,Chinese,你好
429,1,Chinese,浅绿色
430,1,Chinese,绿色
431,1,Chinese,茄子
432,1,Chinese,草
433,3,Chinese,草的颜色
434,2,Chinese,色泽鲜艳
435,1,Chinese,忍者龟
436,2,Chinese,轻茄子
437,3,Chinese,绿色但不太绿
438,3,Chinese,绿色但不太绿
439,4,Chinese,非常明亮引起注意
440,3,Chinese,明亮的紫色
441,1,Chinese,老绿
442,2,Chinese,灰蓝色
443,1,Chinese,浅绿色
444,2,Chinese,浅橙色
445,1,Chinese,绿色
446,2,Chinese,浅绿色灰色
447,1,Chinese,紫色
448,2,Chinese,浅灰色
449,1,Chinese,浅紫色
450,1,Chinese,蓝色
451,1,Chinese,深紫色
452,9,Chinese,是两个比较接近的颜色中的一个
453,11,Chinese,在两个比较接近的颜色中深色的那一个
454,1,Chinese,草
455,1,Chinese,青草
456,1,Chinese,牧草
457,2,Chinese,植物叶
458,1,Chinese,绿
459,2,Chinese,选择它
460,3,Chinese,人呢 
461,2,Chinese,在吗
462,5,Chinese,人呢 在吗
463,1,Chinese,你好
464,1,Chinese,你好
465,2,Chinese,准备好了吗
466,2,Chinese,好了
467,3,Chinese,草的颜色
468,9,Chinese,这颜色不接近天也不接近草
469,7,Chinese,接近草的颜色但比较深
470,3,Chinese,这有点难
471,4,Chinese,颜色不接近草
472,4,Chinese,颜色不接近天空
473,3,Chinese,草的颜色
474,5,Chinese,我们通常叫什么外线
475,3,Chinese,外线的颜色
476,5,Chinese,比较深的外线颜色
477,2,Chinese,外线颜色
478,5,Chinese,比较光的外线颜色
479,6,Chinese,亮一点的草的颜色
480,7,Chinese,不是草也不是太阳的颜色
481,7,Chinese,不是天空也不是外线的颜色
482,3,Chinese,太阳的颜色
483,5,Chinese,最接近草的颜色
484,2,Chinese,外线颜色
485,5,Chinese,最浅的草的颜色
486,5,Chinese,最接近太阳的颜色
487,5,Chinese,最接近草的颜色
488,4,Chinese,粱美梦的颜色
489,3,Chinese,草的颜色
490,8,Chinese,接近草的颜色可是没那么绿
491,3,Chinese,亮的外线
492,2,Chinese,外线颜色
493,7,Chinese,这里面最亮最深的颜色
494,3,Chinese,天的颜色
495,5,Chinese,亮的草的颜色
496,3,Chinese,土的颜色
497,5,Chinese,最接近天的颜色
498,7,Chinese,没那么亮的天的颜色
499,3,Chinese,草的颜色
500,5,Chinese,这里面颜色最中间
501,7,Chinese,不是天也不是图的颜色
502,1,Chinese,土
503,3,Chinese,草的颜色
504,4,Chinese,这里面颜色最深
505,3,Chinese,草的颜色
506,4,Chinese,浅的天空颜色
507,3,Chinese,土的颜色
508,4,Chinese,最接近太阳颜色
509,5,Chinese,最接近土的颜色
510,5,Chinese,这里面最深的颜色
511,3,Chinese,土的颜色
512,5,Chinese,亮的草的颜色
513,5,Chinese,这里面亮度在中间
514,5,Chinese,最接近天空的颜色
515,5,Chinese,最接近户的颜色
516,1,Chinese,湖
517,4,Chinese,这里面颜色最浅
518,5,Chinese,深的草的颜色
519,3,Chinese,土的颜色
520,5,Chinese,这里面最亮的颜色
521,2,Chinese,没人吗
522,2,Chinese,請描述
523,1,Chinese,你好
524,1,Chinese,黑暗
525,1,Chinese,草
526,3,Chinese,开始了吗
527,2,Chinese,开始了
528,6,Chinese,这个颜色是天空的颜色
529,3,Chinese,这是皮肤颜色
530,5,Chinese,这是有点红色的颜色
531,3,Chinese,是深红吗
532,2,Chinese,还是粉红
533,1,Chinese,深红
534,4,Chinese,有点灰的浅绿色
535,1,Chinese,紫色
536,1,Chinese,绿色
537,1,Chinese,灰绿色
538,1,Chinese,紫色
539,1,Chinese,灰色
540,6,Chinese,这是比较深色的那个绿色
541,1,Chinese,灰色
542,3,Chinese,算是灰色吧
543,1,Chinese,神皇色
544,1,Chinese,深黄色
545,1,Chinese,绿色
546,3,Chinese,这个比较难
547,4,Chinese,比较浅色的紫色
548,4,Chinese,比较艳的绿色
549,3,Chinese,浅粉红灰色
550,1,Chinese,肉色
551,3,Chinese,艳的紫色
552,4,Chinese,这里有三个绿色
553,10,Chinese,一个艳绿色 和一个比较灰的绿色
554,5,Chinese,是剩下的那个色
555,2,Chinese,艳绿色
556,1,Chinese,绿色
557,1,Chinese,紫色
558,5,Chinese,比较蓝色的那个色
559,1,Chinese,艳蓝色
560,2,Chinese,艳紫色
561,1,Chinese,黄色
562,2,Chinese,艳绿色
563,4,Chinese,有点粉红色的灰色
564,2,Chinese,浅橘色
565,2,Chinese,艳绿色
566,1,Chinese,艳蓝色
567,4,Chinese,有点灰的绿色
568,1,Chinese,灰色
569,1,Chinese,绿色
570,4,Chinese,有点黄色的绿色
571,1,Chinese,灰色
572,1,Chinese,蓝色
573,1,Chinese,蓝色
574,2,Chinese,艳紫红色
575,1,Chinese,蓝色
576,1,Chinese,黄色
577,5,Chinese,比较有粉色的灰色
578,1,Chinese,灰色
579,1,Chinese,灰色
580,1,Chinese,紫色
581,1,Chinese,灰色
582,1,Chinese,黄色
583,2,Chinese,纯灰色
584,1,Chinese,绿色
585,3,Chinese,这是一个暖色调
586,6,Chinese,这是一个接近天空的颜色
587,10,Chinese,这是一个大多数女生都喜欢的可爱的颜色
588,7,Chinese,这是一个接近秋冬枯草的颜色
589,3,Chinese,军装的颜色
590,8,Chinese,这是一个比天空蓝更深的颜色
591,11,Chinese,这个颜色在你所看到的三个颜色里最亮
592,20,Chinese,你会看到两种特别接近的大地色 相比之下深一些的颜色是你应该选的
593,13,Chinese,两种颜色相近的大地色 选择有一些微黄的颜色
594,3,Chinese,甚至泛着微绿
595,6,Chinese,这是一个红绿灯交通色很亮
596,5,Chinese,最接近大地的土色
597,6,Chinese,特别接近塑料绿的绿色
598,3,Chinese,深又显亮
599,7,Chinese,一个比较正标准的紫色 
600,1,Chinese,深蓝色
601,7,Chinese,橘色 比较秋季暖的感觉
602,2,Chinese,灰蓝色
603,1,Chinese,绿色
604,4,Chinese,比较鲜艳的绿色
605,1,Chinese,深绿色
606,1,Chinese,鲜艳
607,4,Chinese,灰色调的紫色
608,2,Chinese,深粉色
609,1,Chinese,灰色
610,2,Chinese,灰色调
611,4,Chinese,深绿色 不是亮绿
612,5,Chinese,带点橘红色的橘色 
613,7,Chinese,两个橘色里深一些的那个
614,5,Chinese,泛红色的深橘色
615,4,Chinese,灰色调的深蓝色
616,2,Chinese,亮橘色
617,2,Chinese,浅色橘
618,1,Chinese,亮
619,2,Chinese,橙汁儿
620,3,Chinese,粉色 浅色
621,5,Chinese,最接近粉色的那个
622,5,Chinese,你能更具体吗
623,4,Chinese,灰色调 绿色
624,2,Chinese,最土色
625,3,Chinese,最暗沉的
626,2,Chinese,棕色土色
627,10,Chinese,我的天 我的中文只有初中水平
628,6,Chinese,不是绿色 也不是军绿色
629,8,Chinese,剩下的那个土色 棕色就是了
630,4,Chinese,妖艳的紫粉色
631,12,Chinese,两个绿色你要选的是那个有提亮的绿色
632,4,Chinese,不是灰暗的绿色
633,8,Chinese,像那个紫色一样亮的绿蓝色
634,3,Chinese,灰土色 
635,7,Chinese,不是任何一个接近绿色的颜色
636,4,Chinese,土色泛黄 泛绿
637,10,Chinese,不是橘色 也不是那个带橘红的土色
638,2,Chinese,冷色调一些
639,3,Chinese,绿色 深绿
640,1,Chinese,红色
641,2,Chinese,土橘黄色
642,1,Chinese,紫色
643,1,Chinese,红色
644,2,Chinese,土色 
645,1,Chinese,蓝色
646,1,Chinese,深蓝
647,1,Chinese,粉色
648,1,Chinese,粉色
649,1,Chinese,粉红
650,2,Chinese,土绿色
651,1,Chinese,深紫色
652,1,Chinese,深
653,1,Chinese,紫色
654,3,Chinese,任意一个土色
655,1,Chinese,任意
656,6,Chinese,怎么描述这个都对不了
657,2,Chinese,深一些
658,1,Chinese,的
659,1,Chinese,粉红
660,1,Chinese,艳红
661,4,Chinese,超级亮 红色
662,8,Chinese,暗绿色 但不是最灰色的那个
663,1,Chinese,灰色
664,3,Chinese,绿色但不太绿
665,3,Chinese,红色与浅紫色
666,1,Chinese,浅紫色
667,1,Chinese,浅紫色
668,1,Chinese,黑暗
669,1,Chinese,绿色
670,1,Chinese,灰绿色
671,1,Chinese,紫色
672,3,Chinese,明亮的紫色
673,1,Chinese,橙子
674,2,Chinese,森林绿色
675,1,Chinese,灰色
676,2,Chinese,玫瑰紫色
677,1,Chinese,紫色
678,1,Chinese,黑暗
679,1,Chinese,绿色
680,1,Chinese,黑
681,2,Chinese,森林绿色
682,1,Chinese,紫色
683,1,Chinese,灰色
684,1,Chinese,棕色
685,1,Chinese,浅绿色
686,1,Chinese,透亮
687,2,Chinese,透亮绿色
688,1,Chinese,橙子
689,1,Chinese,绿
690,1,Chinese,品绿
691,1,Chinese,是
692,1,Chinese,蓝色
693,1,Chinese,紫色
694,1,Chinese,蓝色
695,1,Chinese,蓝色
696,1,Chinese,紫色
697,1,Chinese,暗
698,1,Chinese,红
699,1,Chinese,绿色
700,1,Chinese,亮
701,1,Chinese,深绿色
702,1,Chinese,紫色
703,1,Chinese,蓝绿
704,1,Chinese,深紫色
705,1,Chinese,深灰色
706,2,Chinese,亮蓝色
707,1,Chinese,深灰色
708,1,Chinese,深灰色
709,1,Chinese,黄色
710,1,Chinese,绿色
711,1,Chinese,绿色
712,1,Chinese,蓝
713,1,Chinese,亮
714,1,Chinese,灰色
715,1,Chinese,灰
716,1,Chinese,棕色
717,1,Chinese,绿色
718,1,Chinese,棕色
719,4,Chinese,叶子脱落的颜色
720,1,Chinese,灰色
721,1,Chinese,橙子
722,1,Chinese,暗
723,1,Chinese,灰色
724,4,Chinese,不是紫色和蓝色
725,1,Chinese,黄绿色
726,1,Chinese,蓝色
727,1,Chinese,爱
728,1,Chinese,玫瑰
729,1,Chinese,爱
730,1,Chinese,明亮
731,1,Chinese,草
732,2,Chinese, 明亮
733,1,Chinese,亮
734,1,Chinese,亮
735,1,Chinese,你好
736,1,Chinese,你好
737,3,Chinese,颜色很黑
738,1,Chinese,叶子
739,2,Chinese,天空蓝
740,1,Chinese,蓝色
741,1,Chinese,紫
742,2,Chinese,天空蓝
743,1,Chinese,黄色
744,1,Chinese,亮绿
745,1,Chinese,深绿
746,1,Chinese,深绿
747,1,Chinese,蓝
748,1,Chinese,灰
749,1,Chinese,紫
750,2,Chinese,亮蓝
751,1,Chinese,土绿
752,1,Chinese,深紫
753,1,Chinese,蓝
754,1,Chinese,亮绿
755,1,Chinese,灰色
756,2,Chinese,亮蓝
757,1,Chinese,蓝
758,2,Chinese,亮蓝
759,1,Chinese,蓝
760,2,Chinese,亮灰
761,1,Chinese,蓝绿
762,1,Chinese,蓝
763,2,Chinese,次亮绿
764,1,Chinese,红
765,1,Chinese,紫
766,1,Chinese,深蓝
767,1,Chinese,蓝
768,4,Chinese,介于土色和绿色
769,2,Chinese,土色偏黄
770,1,Chinese,蓝
771,1,Chinese,紫
772,1,Chinese,粉红
773,1,Chinese,蓝绿
774,1,Chinese,蓝
775,1,Chinese,土紫
776,2,Chinese,蓝绿色偏黄
777,1,Chinese,绿
778,1,Chinese,亮绿
779,2,Chinese,暗绿偏黄
780,1,Chinese,绿
781,1,Chinese,红
782,1,Chinese,紫
783,1,Chinese,灰蓝
784,2,Chinese,荧光蓝
785,1,Chinese,深蓝
786,1,Chinese,亮绿
787,1,Chinese,灰
788,1,Chinese,太阳
789,1,Chinese,光
790,1,Chinese,黑暗
791,1,Chinese,砂
792,1,Chinese,黑暗
793,1,Chinese,光
794,1,Chinese,草
795,1,Chinese,亮
796,1,Chinese,天空
797,1,Chinese,树叶
798,1,Chinese,亮
799,2,Chinese,少女的
800,1,Chinese,你
801,1,Chinese,你好
802,1,Chinese,你好
803,4,Chinese,不是蓝色和绿色
804,3,Chinese,还在吗
805,1,Chinese,在
806,2,Chinese,选紫色
807,2,Chinese,选棕色
808,2,Chinese,错了
809,3,Chinese,请描述颜色
810,1,Chinese,咖啡色
811,6,Chinese,本轮都是绿色没有咖啡色
812,3,Chinese,是深绿色吗
813,1,Chinese,不好意思
814,1,Chinese,翠绿色
815,1,Chinese,灰色
816,1,Chinese,嫩绿色
817,1,Chinese,蓝色
818,1,Chinese,紫色
819,1,Chinese,蓝色
820,1,Chinese,红色
821,1,Chinese,大红
822,1,Chinese,嗯
823,1,Chinese,紫色
824,4,Chinese,有微信吗呵呵
825,1,Chinese,有
826,2,Chinese,加一下
827,1,Chinese,行
828,4,Chinese,微信号我加你
829,1,Chinese,翠绿
830,8,Chinese,没收到微信号 重发一下
831,1,Chinese,灰色
832,1,Chinese,绿色
833,8,Chinese,微信号不存在 你加我吧
834,1,Chinese,绿色
835,1,Chinese,棕色
836,3,Chinese,偏黄色吗
837,2,Chinese,偏红的
838,1,Chinese,紫色
839,1,Chinese,嫩绿色
840,3,Chinese,最亮的绿色
841,1,Chinese,中间色
842,1,Chinese,紫红色
843,1,Chinese,蓝色
844,4,Chinese,比较深的绿
845,1,Chinese,蓝色
846,1,Chinese,蓝色
847,1,Chinese,暗紫色
848,1,Chinese,深紫色
849,3,Chinese,偏红的棕色
850,14,Chinese,有两种偏红的棕色是比较深还是比较浅的那个
851,3,Chinese,偏橙色的
852,1,Chinese,灰色
853,3,Chinese,较暗的绿色
854,3,Chinese,偏亮的绿色
855,1,Chinese,蓝色
856,1,Chinese,紫红色
857,2,Chinese,偏红的
858,1,Chinese,棕色
859,1,Chinese,紫色
860,1,Chinese,绿色
861,1,Chinese,灰色
862,1,Chinese,紫色
863,1,Chinese,绿色
864,1,Chinese,蓝色
865,4,Chinese,较深的嫩绿
866,3,Chinese,偏棕的黄
867,1,Chinese,灰色
868,1,Chinese,黄色
869,3,Chinese,较灰的
870,1,Chinese,宝蓝色
871,1,Chinese,黄色
872,1,Chinese,灰色
873,2,Chinese,偏红的
874,1,Chinese,枣红色
875,1,Chinese,紫色
876,2,Chinese,偏红的
877,3,Chinese,偏暗的绿
878,3,Chinese,是什么颜色
879,1,Chinese,深绿
880,1,Chinese,亮绿
881,2,Chinese,亮土黄
882,2,Chinese,亮紫
883,2,Chinese,厉害啊
884,1,Chinese,紫
885,4,Chinese,你也厉害啊
886,4,Chinese,呵呵画家的女儿
887,2,Chinese,深土色
888,2,Chinese,失敬失敬
889,4,Chinese,比较绿色的绿
890,2,Chinese,偏棕色
891,1,Chinese,紫
892,1,Chinese,灰
893,1,Chinese,黄
894,1,Chinese,绿
895,1,Chinese,暗绿
896,1,Chinese,蓝
897,2,Chinese,这个难
898,1,Chinese,排除
899,3,Chinese,不是亮蓝
900,2,Chinese,不是灰蓝
901,2,Chinese,厉害啊
902,3,Chinese,开始难了
903,1,Chinese,碘色
904,2,Chinese,不认的
905,2,Chinese,没到紫
906,4,Chinese,介于蓝跟紫
907,1,Chinese,啊
908,5,Chinese,一分钱没了 哈哈哈哈
909,1,Chinese,哈哈哈
910,1,Chinese,没关系
911,1,Chinese,灰蓝
912,1,Chinese,哇
913,6,Chinese,有点发绿特别棕和黄棕色
914,3,Chinese,不是那个绿
915,7,Chinese,算特别棕吧比较深色那个
916,2,Chinese,默契啊
917,6,Chinese,感觉快到五十度灰色了
918,1,Chinese,红
919,4,Chinese,比较亮的绿
920,3,Chinese,不是亮粉红
921,4,Chinese,比较亮的紫
922,1,Chinese,蓝
