tokens,Condition,Language,Message
3,closer/close,Chinese,最亮的红色
2,closer/close,Chinese,粉红色吗
2,closer/close,Chinese,是的
1,equal/far,Chinese,灰色
1,further/split,Chinese,墨绿
5,further/split,Chinese,带青色或带蓝色
1,further/split,Chinese,青色
1,equal/far,Chinese,深蓝色
1,further/split,Chinese,土黄色
1,further/split,Chinese,猪肝色
4,closer/close,Chinese,程度居中的绿色
1,further/split,Chinese,墨绿色
1,further/split,Chinese,土黄色
4,further/split,Chinese,黄色较浓吗
1,further/split,Chinese,较淡
1,equal/far,Chinese,灰色
1,closer/close,Chinese,蓝灰色
1,equal/far,Chinese,墨绿色
1,closer/close,Chinese,紫色
5,closer/close,Chinese,带红色或带蓝色
2,closer/close,Chinese,带蓝色
6,closer/close,Chinese,和上一题一样的颜色
1,further/split,Chinese,大红
1,further/split,Chinese,灰色
5,equal/far,Chinese,不是红色也不是蓝色
1,further/split,Chinese,墨绿色
1,equal/far,Chinese,灰色
1,closer/close,Chinese,猪肝
1,equal/far,Chinese,浅绿色
1,closer/close,Chinese,蓝绿色
3,closer/close,Chinese,蓝较多吗
2,closer/close,Chinese,较少
1,further/split,Chinese,紫色
1,closer/close,Chinese,蓝色
1,equal/far,Chinese,黄色
1,equal/far,Chinese,绿色
2,closer/close,Chinese,黄色最少
1,further/split,Chinese,蓝色
1,equal/far,Chinese,红色
1,equal/far,Chinese,红色
1,further/split,Chinese,红色
1,closer/close,Chinese,黄
1,closer/close,Chinese,浅绿色
1,further/split,Chinese,蓝色
1,closer/close,Chinese,粉红
4,closer/close,Chinese,深一点的蓝色
1,further/split,Chinese,紫色
1,further/split,Chinese,灰绿色
1,equal/far,Chinese,灰色
1,equal/far,Chinese,绿色
1,closer/close,Chinese,灰黄色
1,equal/far,Chinese,紫色
2,closer/close,Chinese,暗粉色
1,closer/close,Chinese,亮
1,closer/close,Chinese,红色
1,further/split,Chinese,金黄色
2,closer/close,Chinese,暗粉色
3,closer/close,Chinese,暗粉红色吗
1,closer/close,Chinese,是
1,further/split,Chinese,黄色
1,further/split,Chinese,紫色
1,equal/far,Chinese,绿色
1,equal/far,Chinese,天蓝色
1,further/split,Chinese,浅绿色
1,further/split,Chinese,蓝紫色
1,closer/close,Chinese,绿色
1,equal/far,Chinese,绿色
2,closer/close,Chinese,黄灰色
1,equal/far,Chinese,紫色
1,further/split,Chinese,灰色
1,equal/far,Chinese,灰色
1,further/split,Chinese,土黄色
4,further/split,Chinese,重点是土吗
2,further/split,Chinese,泥黄色
3,closer/close,Chinese,最亮的绿色
1,further/split,Chinese,红色
1,equal/far,Chinese,紫色
1,equal/far,Chinese,绿色
1,equal/far,Chinese,土黃色
1,further/split,Chinese,绿色
1,further/split,Chinese,天蓝色
1,further/split,Chinese,紫色
2,further/split,Chinese,金秋色
3,further/split,Chinese,秋天落叶吗
1,further/split,Chinese,紫色
2,closer/close,Chinese,亮粉色
1,closer/close,Chinese,蓝色
1,equal/far,Chinese,绿色
2,closer/close,Chinese,粉蓝色
2,closer/close,Chinese,灰蓝色
1,closer/close,Chinese,黄绿色
1,equal/far,Chinese,灰色
1,equal/far,Chinese,黄色
1,closer/close,Chinese,灰黄色
2,closer/close,Chinese,亮绿色
1,further/split,Chinese,黄色
1,further/split,Chinese,灰色
1,closer/close,Chinese,深蓝色
2,closer/close,Chinese,黃色
1,equal/far,Chinese,灰色
1,equal/far,Chinese,灰色
1,further/split,Chinese,你好
1,further/split,Chinese,你好
3,further/split,Chinese,要选哪一个
2,further/split,Chinese,淡粉色
1,further/split,Chinese,深棕色
1,equal/far,Chinese,浅绿色
1,further/split,Chinese,深灰色
1,closer/close,Chinese,蓝绿色
1,closer/close,Chinese,哈
1,closer/close,Chinese,紫色
2,equal/far,Chinese,亮绿色
1,equal/far,Chinese,深绿色
4,equal/far,Chinese,看起来是蓝色吧
1,closer/close,Chinese,紫色
2,closer/close,Chinese,深的
2,closer/close,Chinese,中间的
2,closer/close,Chinese,不是粉色
1,equal/far,Chinese,黄
1,equal/far,Chinese,绿
1,equal/far,Chinese,粉
1,further/split,Chinese,深蓝
2,further/split,Chinese,亮蓝
1,closer/close,Chinese,哎呀
1,closer/close,Chinese,深蓝
1,closer/close,Chinese,草绿
1,equal/far,Chinese,粉色
1,closer/close,Chinese,黄绿色
1,further/split,Chinese,粉色
2,equal/far,Chinese,亮蓝
1,further/split,Chinese,深灰色
1,equal/far,Chinese,深紫色
1,closer/close,Chinese,蓝色
1,equal/far,Chinese,墨绿
1,closer/close,Chinese,灰色
1,further/split,Chinese,红
3,equal/far,Chinese,接近皮肤颜色
1,further/split,Chinese,青草
3,closer/close,Chinese,浪漫的颜色
3,equal/far,Chinese,秋天的草色
1,further/split,Chinese,草色
1,further/split,Chinese,深色
3,closer/close,Chinese,浪漫的颜色
1,closer/close,Chinese,深色
3,further/split,Chinese,深色的夕阳
3,closer/close,Chinese,发芽的草色
1,equal/far,Chinese,血色
1,further/split,Chinese,深色
2,further/split,Chinese,快速键入
1,further/split,Chinese,深色
1,equal/far,Chinese,大海
2,further/split,Chinese,公主色
1,closer/close,Chinese,烂漫
1,equal/far,Chinese,青草
2,closer/close,Chinese,同上
1,further/split,Chinese,浪漫
1,further/split,Chinese,亮色
1,further/split,Chinese,深色
1,equal/far,Chinese,深色
1,further/split,Chinese,亮色
1,closer/close,Chinese,血色
1,equal/far,Chinese,深色
1,closer/close,Chinese,深色
1,further/split,Chinese,深色
1,closer/close,Chinese,烂漫
1,closer/close,Chinese,淡色
1,equal/far,Chinese,青草
1,equal/far,Chinese,中色
3,equal/far,Chinese,难看的颜色
1,equal/far,Chinese,浪漫
1,equal/far,Chinese,难看
1,further/split,Chinese,中色
1,closer/close,Chinese,中色
2,closer/close,Chinese,难看色
1,equal/far,Chinese,青草
1,equal/far,Chinese,深色
1,further/split,Chinese,烂漫
1,equal/far,Chinese,难看
1,equal/far,Chinese,浪漫
3,closer/close,Chinese,天的色
1,closer/close,Chinese,嫩草
3,further/split,Chinese,天的色
1,further/split,Chinese,深色
1,closer/close,Chinese,深色
1,closer/close,Chinese,深色
1,further/split,Chinese,深色
1,equal/far,Chinese,难看
4,equal/far,Chinese,慢行交通灯的颜色
6,equal/far,Chinese,荷兰足球队最常穿的颜色
6,further/split,Chinese,美国国旗上的一种颜色
4,closer/close,Chinese,颜色最亮的一个
4,closer/close,Chinese,不是紫色不是浅灰
4,equal/far,Chinese,不是深蓝不是浅蓝
1,equal/far,Chinese,灰色
3,closer/close,Chinese,最亮的绿色
1,further/split,Chinese,紫色
1,equal/far,Chinese,蓝色
2,equal/far,Chinese,蓝灰色吗
1,equal/far,Chinese,天蓝色
1,further/split,Chinese,紫色
1,further/split,Chinese,深绿色
3,further/split,Chinese,草的颜色
2,further/split,Chinese,是的
1,equal/far,Chinese,紫色
3,equal/far,Chinese,是粉色吗
2,equal/far,Chinese,是的
1,further/split,Chinese,土黄色
4,equal/far,Chinese,不是蓝色不是粉色
1,equal/far,Chinese,蓝色
1,equal/far,Chinese,灰色
1,closer/close,Chinese,灰色
3,closer/close,Chinese,最亮的绿色
1,closer/close,Chinese,紫色
1,equal/far,Chinese,灰色
1,equal/far,Chinese,紫色
8,closer/close,Chinese,不是最亮的绿色第二亮的绿色
5,further/split,Chinese,颜色较深的绿色
2,further/split,Chinese,偏黄色
3,further/split,Chinese,偏绿不偏黄
2,further/split,Chinese,偏紫色
1,further/split,Chinese,蓝色
2,further/split,Chinese,不是蓝色
1,further/split,Chinese,黄色
1,further/split,Chinese,不是
1,further/split,Chinese,蓝色
1,further/split,Chinese,偏灰
2,further/split,Chinese,偏绿色
2,further/split,Chinese,不偏绿
4,further/split,Chinese,比较暗的蓝色
4,closer/close,Chinese,亮度居中的绿色
1,further/split,Chinese,绿色
4,closer/close,Chinese,亮度居中的蓝色
2,closer/close,Chinese,偏灰色
1,closer/close,Chinese,不是
3,further/split,Chinese,最亮的绿色
6,closer/close,Chinese,偏暗的蓝色 不是紫色
1,closer/close,Chinese,深蓝色
1,closer/close,Chinese,不是
1,closer/close,Chinese,浅蓝
4,closer/close,Chinese,深绿 不偏黄
3,closer/close,Chinese,最亮的紫色
1,equal/far,Chinese,蓝色
5,further/split,Chinese,不是红色不是亮绿色
2,further/split,Chinese,草绿色偏亮
2,further/split,Chinese,绿色偏黄
1,further/split,Chinese,黄色
2,further/split,Chinese,是的
1,closer/close,Chinese,浅蓝色
1,further/split,Chinese,灰色
1,equal/far,Chinese,紫色
1,equal/far,Chinese,紫色
1,equal/far,Chinese,绿色
1,equal/far,Chinese,草绿色
2,equal/far,Chinese,是的
3,closer/close,Chinese,最亮的粉红
2,further/split,Chinese,粉红色偏亮
1,equal/far,Chinese,绿色
5,equal/far,Chinese,灰色不是蓝色不是紫色
3,closer/close,Chinese,绿色偏淡蓝色
2,closer/close,Chinese,偏黄色
2,closer/close,Chinese,不偏黄
1,further/split,Chinese,深绿色
2,closer/close,Chinese,绿色偏亮
5,further/split,Chinese,青草的颜色但较浅
9,closer/close,Chinese,我这边有三个都比较深的颜色
1,closer/close,Chinese,黑色
6,closer/close,Chinese,要下雨时通常天空会
1,closer/close,Chinese,深灰色
2,closer/close,Chinese,再淡点
3,further/split,Chinese,青草的颜色
1,further/split,Chinese,对
2,equal/far,Chinese,最亮的
3,closer/close,Chinese,较不同的
2,further/split,Chinese,最亮的
5,further/split,Chinese,比较接近女生的颜色
1,further/split,Chinese,绿色
1,further/split,Chinese,不是
6,further/split,Chinese,另外两个都很像灰色
3,further/split,Chinese,是棕灰色
3,further/split,Chinese,比较粉的
2,equal/far,Chinese,粉红和
1,equal/far,Chinese,紫色
2,further/split,Chinese,不亮的
2,equal/far,Chinese,粉紫
1,equal/far,Chinese,黄
1,equal/far,Chinese,粉色
4,closer/close,Chinese,比较接近大地的
4,further/split,Chinese,不是亮的粉
3,closer/close,Chinese,偏蓝的绿
1,equal/far,Chinese,深蓝
1,equal/far,Chinese,大地
1,further/split,Chinese,亮粉
4,closer/close,Chinese,比较深的紫
6,closer/close,Chinese,不是偏粉的紫 不亮
1,further/split,Chinese,亮粉
1,closer/close,Chinese,灰色
2,closer/close,Chinese,不偏蓝
3,closer/close,Chinese,最沉的绿
4,further/split,Chinese,不偏粉的紫
3,closer/close,Chinese,绿色 不太棕
2,closer/close,Chinese,比较灰
1,equal/far,Chinese,灰色
1,equal/far,Chinese,亮粉
1,equal/far,Chinese,黄色
1,equal/far,Chinese,大地
1,further/split,Chinese,灰色
2,further/split,Chinese,最亮的
3,equal/far,Chinese,最亮的绿
1,further/split,Chinese,粉色
1,equal/far,Chinese,蓝色
7,closer/close,Chinese,三个中 排行第二亮的
1,equal/far,Chinese,绿色
5,further/split,Chinese,橙色 很橙的
1,equal/far,Chinese,紫色
1,closer/close,Chinese,浅粉色
4,further/split,Chinese,比较暗淡的绿
3,closer/close,Chinese,偏紫色 
2,closer/close,Chinese,偏粉红色
7,closer/close,Chinese,最普通彩盘中的亮青
1,further/split,Chinese,蓝色
9,closer/close,Chinese,不是最亮的 剩下两个中偏淡的
1,closer/close,Chinese,绿色
1,equal/far,Chinese,偏绿
10,closer/close,Chinese,不是最亮的 剩下两个中不偏淡的
1,further/split,Chinese,绿色
2,further/split,Chinese,亮蓝色
6,equal/far,Chinese,请问第一轮目标颜色是什么
1,closer/close,Chinese,你好
1,closer/close,Chinese,你好
1,closer/close,Chinese,浅绿色
1,equal/far,Chinese,绿色
1,equal/far,Chinese,茄子
1,closer/close,Chinese,草
3,equal/far,Chinese,草的颜色
2,closer/close,Chinese,色泽鲜艳
1,further/split,Chinese,忍者龟
2,equal/far,Chinese,轻茄子
3,closer/close,Chinese,绿色但不太绿
3,further/split,Chinese,绿色但不太绿
4,further/split,Chinese,非常明亮引起注意
3,closer/close,Chinese,明亮的紫色
1,closer/close,Chinese,老绿
2,equal/far,Chinese,灰蓝色
1,further/split,Chinese,浅绿色
2,further/split,Chinese,浅橙色
1,closer/close,Chinese,绿色
2,equal/far,Chinese,浅绿色灰色
1,equal/far,Chinese,紫色
2,further/split,Chinese,浅灰色
1,closer/close,Chinese,浅紫色
1,closer/close,Chinese,蓝色
1,further/split,Chinese,你好
1,further/split,Chinese,你好
2,further/split,Chinese,准备好了吗
2,further/split,Chinese,好了
3,further/split,Chinese,草的颜色
9,equal/far,Chinese,这颜色不接近天也不接近草
7,further/split,Chinese,接近草的颜色但比较深
3,closer/close,Chinese,这有点难
4,closer/close,Chinese,颜色不接近草
4,closer/close,Chinese,颜色不接近天空
3,equal/far,Chinese,草的颜色
5,further/split,Chinese,我们通常叫什么外线
3,further/split,Chinese,外线的颜色
5,closer/close,Chinese,比较深的外线颜色
2,further/split,Chinese,外线颜色
5,further/split,Chinese,比较光的外线颜色
6,further/split,Chinese,亮一点的草的颜色
7,equal/far,Chinese,不是草也不是太阳的颜色
7,equal/far,Chinese,不是天空也不是外线的颜色
3,equal/far,Chinese,太阳的颜色
5,further/split,Chinese,最接近草的颜色
2,further/split,Chinese,外线颜色
5,closer/close,Chinese,最浅的草的颜色
5,equal/far,Chinese,最接近太阳的颜色
5,further/split,Chinese,最接近草的颜色
4,closer/close,Chinese,粱美梦的颜色
3,equal/far,Chinese,草的颜色
8,closer/close,Chinese,接近草的颜色可是没那么绿
3,further/split,Chinese,亮的外线
2,further/split,Chinese,外线颜色
7,closer/close,Chinese,这里面最亮最深的颜色
3,equal/far,Chinese,天的颜色
5,further/split,Chinese,亮的草的颜色
3,closer/close,Chinese,土的颜色
5,closer/close,Chinese,最接近天的颜色
7,equal/far,Chinese,没那么亮的天的颜色
3,equal/far,Chinese,草的颜色
5,closer/close,Chinese,这里面颜色最中间
7,further/split,Chinese,不是天也不是图的颜色
1,further/split,Chinese,土
3,equal/far,Chinese,草的颜色
4,closer/close,Chinese,这里面颜色最深
3,equal/far,Chinese,草的颜色
4,equal/far,Chinese,浅的天空颜色
3,closer/close,Chinese,土的颜色
4,equal/far,Chinese,最接近太阳颜色
5,further/split,Chinese,最接近土的颜色
5,closer/close,Chinese,这里面最深的颜色
3,equal/far,Chinese,土的颜色
5,further/split,Chinese,亮的草的颜色
5,closer/close,Chinese,这里面亮度在中间
5,closer/close,Chinese,最接近天空的颜色
5,further/split,Chinese,最接近户的颜色
1,further/split,Chinese,湖
4,closer/close,Chinese,这里面颜色最浅
5,further/split,Chinese,深的草的颜色
3,equal/far,Chinese,土的颜色
5,closer/close,Chinese,这里面最亮的颜色
2,closer/close,Chinese,請描述
3,closer/close,Chinese,开始了吗
2,closer/close,Chinese,开始了
6,closer/close,Chinese,这个颜色是天空的颜色
3,further/split,Chinese,这是皮肤颜色
5,closer/close,Chinese,这是有点红色的颜色
3,closer/close,Chinese,是深红吗
2,closer/close,Chinese,还是粉红
1,closer/close,Chinese,深红
4,closer/close,Chinese,有点灰的浅绿色
1,equal/far,Chinese,紫色
1,further/split,Chinese,绿色
1,equal/far,Chinese,灰绿色
1,closer/close,Chinese,紫色
1,further/split,Chinese,灰色
6,further/split,Chinese,这是比较深色的那个绿色
1,further/split,Chinese,灰色
3,further/split,Chinese,算是灰色吧
1,equal/far,Chinese,神皇色
1,equal/far,Chinese,深黄色
1,closer/close,Chinese,绿色
3,further/split,Chinese,这个比较难
4,further/split,Chinese,比较浅色的紫色
4,further/split,Chinese,比较艳的绿色
3,equal/far,Chinese,浅粉红灰色
1,equal/far,Chinese,肉色
3,further/split,Chinese,艳的紫色
4,closer/close,Chinese,这里有三个绿色
10,closer/close,Chinese,一个艳绿色 和一个比较灰的绿色
5,closer/close,Chinese,是剩下的那个色
2,closer/close,Chinese,艳绿色
1,equal/far,Chinese,绿色
1,further/split,Chinese,紫色
5,closer/close,Chinese,比较蓝色的那个色
1,closer/close,Chinese,艳蓝色
2,closer/close,Chinese,艳紫色
1,equal/far,Chinese,黄色
2,further/split,Chinese,艳绿色
4,further/split,Chinese,有点粉红色的灰色
2,further/split,Chinese,浅橘色
2,closer/close,Chinese,艳绿色
1,further/split,Chinese,艳蓝色
4,further/split,Chinese,有点灰的绿色
1,equal/far,Chinese,灰色
1,further/split,Chinese,绿色
4,closer/close,Chinese,有点黄色的绿色
1,equal/far,Chinese,灰色
1,closer/close,Chinese,蓝色
1,equal/far,Chinese,蓝色
2,equal/far,Chinese,艳紫红色
1,further/split,Chinese,蓝色
1,equal/far,Chinese,黄色
5,closer/close,Chinese,比较有粉色的灰色
1,equal/far,Chinese,灰色
1,closer/close,Chinese,灰色
1,closer/close,Chinese,紫色
1,equal/far,Chinese,灰色
1,equal/far,Chinese,黄色
2,closer/close,Chinese,纯灰色
1,equal/far,Chinese,绿色
3,equal/far,Chinese,这是一个暖色调
6,equal/far,Chinese,这是一个接近天空的颜色
10,equal/far,Chinese,这是一个大多数女生都喜欢的可爱的颜色
7,equal/far,Chinese,这是一个接近秋冬枯草的颜色
3,equal/far,Chinese,军装的颜色
8,equal/far,Chinese,这是一个比天空蓝更深的颜色
3,closer/close,Chinese,甚至泛着微绿
6,further/split,Chinese,这是一个红绿灯交通色很亮
5,further/split,Chinese,最接近大地的土色
6,closer/close,Chinese,特别接近塑料绿的绿色
3,closer/close,Chinese,深又显亮
7,further/split,Chinese,一个比较正标准的紫色 
1,further/split,Chinese,深蓝色
7,closer/close,Chinese,橘色 比较秋季暖的感觉
2,equal/far,Chinese,灰蓝色
1,equal/far,Chinese,绿色
4,further/split,Chinese,比较鲜艳的绿色
1,further/split,Chinese,深绿色
1,further/split,Chinese,鲜艳
4,further/split,Chinese,灰色调的紫色
2,equal/far,Chinese,深粉色
1,further/split,Chinese,灰色
2,equal/far,Chinese,灰色调
4,closer/close,Chinese,深绿色 不是亮绿
5,further/split,Chinese,带点橘红色的橘色 
7,further/split,Chinese,两个橘色里深一些的那个
5,further/split,Chinese,泛红色的深橘色
4,closer/close,Chinese,灰色调的深蓝色
2,further/split,Chinese,亮橘色
2,further/split,Chinese,浅色橘
1,further/split,Chinese,亮
2,further/split,Chinese,橙汁儿
3,closer/close,Chinese,粉色 浅色
5,closer/close,Chinese,最接近粉色的那个
5,closer/close,Chinese,你能更具体吗
4,further/split,Chinese,灰色调 绿色
2,further/split,Chinese,最土色
3,further/split,Chinese,最暗沉的
2,further/split,Chinese,棕色土色
10,further/split,Chinese,我的天 我的中文只有初中水平
6,further/split,Chinese,不是绿色 也不是军绿色
8,further/split,Chinese,剩下的那个土色 棕色就是了
4,further/split,Chinese,妖艳的紫粉色
4,further/split,Chinese,不是灰暗的绿色
8,further/split,Chinese,像那个紫色一样亮的绿蓝色
3,closer/close,Chinese,灰土色 
7,closer/close,Chinese,不是任何一个接近绿色的颜色
4,closer/close,Chinese,土色泛黄 泛绿
10,closer/close,Chinese,不是橘色 也不是那个带橘红的土色
2,closer/close,Chinese,冷色调一些
3,further/split,Chinese,绿色 深绿
1,equal/far,Chinese,红色
2,equal/far,Chinese,土橘黄色
1,equal/far,Chinese,紫色
1,equal/far,Chinese,红色
2,further/split,Chinese,土色 
1,further/split,Chinese,蓝色
1,further/split,Chinese,深蓝
1,closer/close,Chinese,粉色
1,equal/far,Chinese,粉色
1,equal/far,Chinese,粉红
2,closer/close,Chinese,土绿色
1,closer/close,Chinese,深紫色
1,closer/close,Chinese,深
1,closer/close,Chinese,紫色
3,closer/close,Chinese,任意一个土色
1,closer/close,Chinese,任意
6,closer/close,Chinese,怎么描述这个都对不了
2,closer/close,Chinese,深一些
1,closer/close,Chinese,的
1,equal/far,Chinese,粉红
1,closer/close,Chinese,艳红
4,closer/close,Chinese,超级亮 红色
8,closer/close,Chinese,暗绿色 但不是最灰色的那个
1,equal/far,Chinese,灰色
3,further/split,Chinese,绿色但不太绿
3,further/split,Chinese,红色与浅紫色
1,further/split,Chinese,浅紫色
1,closer/close,Chinese,浅紫色
1,closer/close,Chinese,黑暗
1,equal/far,Chinese,绿色
1,equal/far,Chinese,灰绿色
1,closer/close,Chinese,紫色
3,closer/close,Chinese,明亮的紫色
1,closer/close,Chinese,橙子
2,further/split,Chinese,森林绿色
1,closer/close,Chinese,灰色
2,equal/far,Chinese,玫瑰紫色
1,further/split,Chinese,紫色
1,further/split,Chinese,黑暗
1,closer/close,Chinese,绿色
1,closer/close,Chinese,黑
2,closer/close,Chinese,森林绿色
1,equal/far,Chinese,紫色
1,closer/close,Chinese,灰色
1,equal/far,Chinese,棕色
1,closer/close,Chinese,浅绿色
1,closer/close,Chinese,透亮
2,further/split,Chinese,透亮绿色
1,equal/far,Chinese,橙子
1,closer/close,Chinese,绿
1,closer/close,Chinese,品绿
1,closer/close,Chinese,是
1,equal/far,Chinese,蓝色
1,further/split,Chinese,紫色
1,further/split,Chinese,蓝色
1,further/split,Chinese,蓝色
1,further/split,Chinese,紫色
1,further/split,Chinese,暗
1,equal/far,Chinese,红
1,closer/close,Chinese,绿色
1,closer/close,Chinese,亮
1,closer/close,Chinese,深绿色
1,equal/far,Chinese,紫色
1,closer/close,Chinese,蓝绿
1,closer/close,Chinese,深紫色
1,further/split,Chinese,深灰色
2,further/split,Chinese,亮蓝色
1,further/split,Chinese,深灰色
1,further/split,Chinese,深灰色
1,equal/far,Chinese,黄色
1,closer/close,Chinese,绿色
1,closer/close,Chinese,绿色
1,closer/close,Chinese,蓝
1,closer/close,Chinese,亮
1,equal/far,Chinese,灰色
1,closer/close,Chinese,灰
1,closer/close,Chinese,棕色
1,closer/close,Chinese,绿色
1,equal/far,Chinese,棕色
4,further/split,Chinese,叶子脱落的颜色
1,equal/far,Chinese,灰色
1,equal/far,Chinese,橙子
1,equal/far,Chinese,暗
1,equal/far,Chinese,灰色
4,further/split,Chinese,不是紫色和蓝色
1,equal/far,Chinese,黄绿色
1,equal/far,Chinese,蓝色
1,further/split,Chinese,爱
1,equal/far,Chinese,玫瑰
1,closer/close,Chinese,爱
1,equal/far,Chinese,明亮
1,equal/far,Chinese,草
2,equal/far,Chinese, 明亮
1,further/split,Chinese,亮
1,closer/close,Chinese,亮
1,further/split,Chinese,叶子
2,closer/close,Chinese,天空蓝
1,further/split,Chinese,蓝色
1,closer/close,Chinese,紫
2,closer/close,Chinese,天空蓝
1,equal/far,Chinese,黄色
1,further/split,Chinese,亮绿
1,equal/far,Chinese,深绿
1,closer/close,Chinese,深绿
1,further/split,Chinese,蓝
1,further/split,Chinese,灰
1,further/split,Chinese,紫
2,further/split,Chinese,亮蓝
1,closer/close,Chinese,土绿
1,closer/close,Chinese,深紫
1,equal/far,Chinese,蓝
1,further/split,Chinese,亮绿
1,equal/far,Chinese,灰色
2,further/split,Chinese,亮蓝
1,equal/far,Chinese,蓝
2,equal/far,Chinese,亮蓝
1,equal/far,Chinese,蓝
2,closer/close,Chinese,亮灰
1,closer/close,Chinese,蓝绿
1,equal/far,Chinese,蓝
2,closer/close,Chinese,次亮绿
1,equal/far,Chinese,红
1,further/split,Chinese,紫
1,further/split,Chinese,深蓝
1,equal/far,Chinese,蓝
4,further/split,Chinese,介于土色和绿色
2,further/split,Chinese,土色偏黄
1,further/split,Chinese,蓝
1,closer/close,Chinese,紫
1,equal/far,Chinese,粉红
1,closer/close,Chinese,蓝绿
1,equal/far,Chinese,蓝
1,further/split,Chinese,土紫
2,closer/close,Chinese,蓝绿色偏黄
1,equal/far,Chinese,绿
1,further/split,Chinese,亮绿
2,closer/close,Chinese,暗绿偏黄
1,equal/far,Chinese,绿
1,equal/far,Chinese,红
1,equal/far,Chinese,紫
1,closer/close,Chinese,灰蓝
2,further/split,Chinese,荧光蓝
1,closer/close,Chinese,深蓝
1,closer/close,Chinese,亮绿
1,closer/close,Chinese,灰
1,equal/far,Chinese,太阳
1,closer/close,Chinese,光
1,closer/close,Chinese,黑暗
1,closer/close,Chinese,砂
1,further/split,Chinese,黑暗
1,equal/far,Chinese,光
1,equal/far,Chinese,草
1,further/split,Chinese,亮
1,equal/far,Chinese,天空
1,equal/far,Chinese,树叶
1,further/split,Chinese,亮
2,closer/close,Chinese,少女的
1,equal/far,Chinese,你好
1,equal/far,Chinese,你好
4,equal/far,Chinese,不是蓝色和绿色
3,equal/far,Chinese,还在吗
1,equal/far,Chinese,在
2,equal/far,Chinese,选紫色
2,further/split,Chinese,选棕色
2,closer/close,Chinese,错了
3,closer/close,Chinese,请描述颜色
1,closer/close,Chinese,咖啡色
6,closer/close,Chinese,本轮都是绿色没有咖啡色
3,closer/close,Chinese,是深绿色吗
1,closer/close,Chinese,不好意思
1,closer/close,Chinese,翠绿色
1,equal/far,Chinese,灰色
1,closer/close,Chinese,嫩绿色
1,further/split,Chinese,蓝色
1,equal/far,Chinese,紫色
1,equal/far,Chinese,蓝色
1,closer/close,Chinese,红色
1,closer/close,Chinese,大红
1,closer/close,Chinese,嗯
1,equal/far,Chinese,紫色
4,equal/far,Chinese,有微信吗呵呵
1,equal/far,Chinese,有
2,equal/far,Chinese,加一下
1,equal/far,Chinese,行
4,equal/far,Chinese,微信号我加你
1,further/split,Chinese,翠绿
8,equal/far,Chinese,没收到微信号 重发一下
1,equal/far,Chinese,灰色
1,equal/far,Chinese,绿色
8,equal/far,Chinese,微信号不存在 你加我吧
1,equal/far,Chinese,绿色
1,further/split,Chinese,棕色
3,further/split,Chinese,偏黄色吗
2,further/split,Chinese,偏红的
