,Usage,Condition,Language
97,0,further/split,Chinese
98,0,equal/far,Chinese
99,0,closer/close,Chinese
100,0,equal/far,Chinese
101,0,closer/close,Chinese
102,0,closer/close,Chinese
103,0,closer/close,Chinese
104,0,closer/close,Chinese
105,0,further/split,Chinese
106,0,further/split,Chinese
107,0,equal/far,Chinese
108,0,further/split,Chinese
109,0,equal/far,Chinese
110,0,closer/close,Chinese
111,0,equal/far,Chinese
112,0,closer/close,Chinese
113,1,closer/close,Chinese
114,1,closer/close,Chinese
115,0,further/split,Chinese
116,0,closer/close,Chinese
117,0,equal/far,Chinese
118,0,equal/far,Chinese
119,1,closer/close,Chinese
120,0,further/split,Chinese
121,0,equal/far,Chinese
122,0,equal/far,Chinese
123,0,further/split,Chinese
124,0,closer/close,Chinese
125,0,closer/close,Chinese
126,0,further/split,Chinese
127,0,closer/close,Chinese
128,0,closer/close,Chinese
129,0,further/split,Chinese
130,0,further/split,Chinese
131,0,equal/far,Chinese
132,0,equal/far,Chinese
133,0,closer/close,Chinese
134,0,equal/far,Chinese
135,0,closer/close,Chinese
136,0,closer/close,Chinese
137,0,closer/close,Chinese
138,0,further/split,Chinese
139,0,closer/close,Chinese
140,0,closer/close,Chinese
141,0,closer/close,Chinese
142,0,further/split,Chinese
143,0,further/split,Chinese
144,0,equal/far,Chinese
145,0,equal/far,Chinese
146,0,further/split,Chinese
147,0,further/split,Chinese
148,0,closer/close,Chinese
149,0,equal/far,Chinese
150,0,closer/close,Chinese
151,0,equal/far,Chinese
152,0,further/split,Chinese
153,0,equal/far,Chinese
154,0,further/split,Chinese
155,0,further/split,Chinese
156,0,further/split,Chinese
157,0,closer/close,Chinese
158,0,further/split,Chinese
159,0,equal/far,Chinese
160,0,equal/far,Chinese
161,0,equal/far,Chinese
162,0,further/split,Chinese
163,0,further/split,Chinese
164,0,further/split,Chinese
165,0,further/split,Chinese
166,0,further/split,Chinese
167,0,further/split,Chinese
168,0,closer/close,Chinese
169,0,closer/close,Chinese
170,0,equal/far,Chinese
171,0,closer/close,Chinese
172,0,closer/close,Chinese
173,0,closer/close,Chinese
174,0,equal/far,Chinese
175,0,equal/far,Chinese
176,0,closer/close,Chinese
177,0,closer/close,Chinese
178,0,further/split,Chinese
179,0,further/split,Chinese
180,0,closer/close,Chinese
181,0,closer/close,Chinese
182,0,equal/far,Chinese
183,0,equal/far,Chinese
184,0,further/split,Chinese
185,0,further/split,Chinese
186,0,further/split,Chinese
187,0,further/split,Chinese
188,0,further/split,Chinese
189,0,further/split,Chinese
190,0,further/split,Chinese
191,0,equal/far,Chinese
192,0,further/split,Chinese
193,0,closer/close,Chinese
194,0,closer/close,Chinese
195,0,closer/close,Chinese
196,0,closer/close,Chinese
197,0,equal/far,Chinese
198,0,equal/far,Chinese
199,0,equal/far,Chinese
200,0,equal/far,Chinese
201,0,equal/far,Chinese
202,0,closer/close,Chinese
203,0,closer/close,Chinese
204,0,closer/close,Chinese
205,0,closer/close,Chinese
206,0,equal/far,Chinese
207,0,equal/far,Chinese
208,0,equal/far,Chinese
209,0,equal/far,Chinese
210,0,further/split,Chinese
211,0,further/split,Chinese
212,0,closer/close,Chinese
213,0,closer/close,Chinese
214,0,closer/close,Chinese
215,0,closer/close,Chinese
216,0,equal/far,Chinese
217,0,closer/close,Chinese
218,0,further/split,Chinese
219,0,equal/far,Chinese
220,0,further/split,Chinese
221,0,equal/far,Chinese
222,0,closer/close,Chinese
223,0,equal/far,Chinese
224,0,closer/close,Chinese
225,0,further/split,Chinese
226,0,equal/far,Chinese
227,0,further/split,Chinese
228,0,closer/close,Chinese
229,0,equal/far,Chinese
230,0,further/split,Chinese
231,0,further/split,Chinese
232,0,closer/close,Chinese
233,0,closer/close,Chinese
234,0,further/split,Chinese
235,0,closer/close,Chinese
236,0,equal/far,Chinese
237,0,further/split,Chinese
238,0,further/split,Chinese
239,0,further/split,Chinese
240,0,equal/far,Chinese
241,0,further/split,Chinese
242,0,closer/close,Chinese
243,0,equal/far,Chinese
244,0,closer/close,Chinese
245,0,further/split,Chinese
246,0,further/split,Chinese
247,0,further/split,Chinese
248,0,equal/far,Chinese
249,0,further/split,Chinese
250,0,closer/close,Chinese
251,0,equal/far,Chinese
252,0,closer/close,Chinese
253,0,closer/close,Chinese
254,0,further/split,Chinese
255,0,closer/close,Chinese
256,0,closer/close,Chinese
257,0,equal/far,Chinese
258,0,equal/far,Chinese
259,0,equal/far,Chinese
260,0,equal/far,Chinese
261,0,equal/far,Chinese
262,0,further/split,Chinese
263,0,closer/close,Chinese
264,0,closer/close,Chinese
265,0,equal/far,Chinese
266,0,equal/far,Chinese
267,0,equal/far,Chinese
268,0,further/split,Chinese
269,0,equal/far,Chinese
270,0,equal/far,Chinese
271,0,closer/close,Chinese
272,0,closer/close,Chinese
273,0,further/split,Chinese
274,0,further/split,Chinese
275,0,closer/close,Chinese
276,0,closer/close,Chinese
277,0,further/split,Chinese
278,0,equal/far,Chinese
279,0,equal/far,Chinese
280,0,equal/far,Chinese
281,0,further/split,Chinese
282,0,closer/close,Chinese
283,0,closer/close,Chinese
284,0,equal/far,Chinese
285,0,equal/far,Chinese
286,0,closer/close,Chinese
287,0,further/split,Chinese
288,0,equal/far,Chinese
289,0,equal/far,Chinese
290,0,equal/far,Chinese
291,0,further/split,Chinese
292,0,further/split,Chinese
293,0,further/split,Chinese
294,0,further/split,Chinese
295,0,equal/far,Chinese
296,0,equal/far,Chinese
297,0,equal/far,Chinese
298,0,further/split,Chinese
299,0,equal/far,Chinese
300,0,equal/far,Chinese
301,0,equal/far,Chinese
302,0,closer/close,Chinese
303,0,closer/close,Chinese
304,0,closer/close,Chinese
305,0,equal/far,Chinese
306,0,equal/far,Chinese
307,0,closer/close,Chinese
308,0,further/split,Chinese
309,0,further/split,Chinese
310,0,further/split,Chinese
311,0,further/split,Chinese
312,0,further/split,Chinese
313,0,further/split,Chinese
314,0,further/split,Chinese
315,0,further/split,Chinese
316,0,further/split,Chinese
317,0,further/split,Chinese
318,0,further/split,Chinese
319,0,further/split,Chinese
320,1,further/split,Chinese
321,0,closer/close,Chinese
322,0,further/split,Chinese
323,0,closer/close,Chinese
324,0,closer/close,Chinese
325,0,closer/close,Chinese
326,0,further/split,Chinese
327,0,closer/close,Chinese
328,0,closer/close,Chinese
329,0,closer/close,Chinese
330,0,closer/close,Chinese
331,0,closer/close,Chinese
332,0,closer/close,Chinese
333,0,equal/far,Chinese
334,0,further/split,Chinese
335,0,further/split,Chinese
336,0,further/split,Chinese
337,0,further/split,Chinese
338,0,further/split,Chinese
339,0,closer/close,Chinese
340,0,further/split,Chinese
341,0,equal/far,Chinese
342,0,equal/far,Chinese
343,0,equal/far,Chinese
344,0,equal/far,Chinese
345,0,equal/far,Chinese
346,0,closer/close,Chinese
347,0,further/split,Chinese
348,0,equal/far,Chinese
349,0,equal/far,Chinese
350,0,closer/close,Chinese
351,0,closer/close,Chinese
352,0,closer/close,Chinese
353,0,further/split,Chinese
354,0,closer/close,Chinese
355,0,further/split,Chinese
356,1,closer/close,Chinese
357,0,closer/close,Chinese
358,0,closer/close,Chinese
359,0,closer/close,Chinese
360,0,closer/close,Chinese
361,0,further/split,Chinese
362,1,further/split,Chinese
363,0,further/split,Chinese
364,0,equal/far,Chinese
365,0,closer/close,Chinese
366,0,further/split,Chinese
367,1,further/split,Chinese
368,0,further/split,Chinese
369,0,further/split,Chinese
370,0,further/split,Chinese
371,0,further/split,Chinese
372,1,further/split,Chinese
373,0,equal/far,Chinese
374,0,equal/far,Chinese
375,0,further/split,Chinese
376,0,equal/far,Chinese
377,0,equal/far,Chinese
378,0,equal/far,Chinese
379,1,closer/close,Chinese
380,0,further/split,Chinese
381,0,closer/close,Chinese
382,0,equal/far,Chinese
383,0,equal/far,Chinese
384,0,further/split,Chinese
385,1,closer/close,Chinese
386,0,closer/close,Chinese
387,0,further/split,Chinese
388,0,closer/close,Chinese
389,0,closer/close,Chinese
390,0,closer/close,Chinese
391,0,further/split,Chinese
392,0,closer/close,Chinese
393,1,closer/close,Chinese
394,0,equal/far,Chinese
395,0,equal/far,Chinese
396,0,equal/far,Chinese
397,0,equal/far,Chinese
398,0,further/split,Chinese
399,0,further/split,Chinese
400,0,equal/far,Chinese
401,0,further/split,Chinese
402,0,equal/far,Chinese
403,0,closer/close,Chinese
404,0,equal/far,Chinese
405,0,further/split,Chinese
406,0,equal/far,Chinese
407,0,closer/close,Chinese
408,1,further/split,Chinese
409,0,closer/close,Chinese
410,0,closer/close,Chinese
411,0,closer/close,Chinese
412,0,further/split,Chinese
413,0,closer/close,Chinese
414,0,closer/close,Chinese
415,0,equal/far,Chinese
416,0,closer/close,Chinese
417,0,further/split,Chinese
418,0,further/split,Chinese
419,0,equal/far,Chinese
420,0,closer/close,Chinese
421,0,closer/close,Chinese
422,0,closer/close,Chinese
423,0,equal/far,Chinese
424,0,equal/far,Chinese
425,0,closer/close,Chinese
426,0,equal/far,Chinese
427,0,closer/close,Chinese
428,0,further/split,Chinese
429,0,equal/far,Chinese
430,0,closer/close,Chinese
431,0,further/split,Chinese
432,0,further/split,Chinese
433,0,closer/close,Chinese
434,0,closer/close,Chinese
435,0,equal/far,Chinese
436,0,further/split,Chinese
437,0,further/split,Chinese
438,0,closer/close,Chinese
439,0,equal/far,Chinese
440,0,equal/far,Chinese
441,0,further/split,Chinese
442,0,closer/close,Chinese
443,0,closer/close,Chinese
444,0,further/split,Chinese
445,0,further/split,Chinese
446,0,further/split,Chinese
447,0,further/split,Chinese
448,0,further/split,Chinese
449,0,equal/far,Chinese
450,1,further/split,Chinese
451,0,closer/close,Chinese
452,0,closer/close,Chinese
453,0,closer/close,Chinese
454,0,equal/far,Chinese
455,0,further/split,Chinese
456,0,further/split,Chinese
457,1,closer/close,Chinese
458,0,further/split,Chinese
459,1,further/split,Chinese
460,0,further/split,Chinese
461,0,equal/far,Chinese
462,0,equal/far,Chinese
463,0,equal/far,Chinese
464,0,further/split,Chinese
465,0,further/split,Chinese
466,0,closer/close,Chinese
467,0,equal/far,Chinese
468,0,further/split,Chinese
469,0,closer/close,Chinese
470,0,equal/far,Chinese
471,1,closer/close,Chinese
472,0,further/split,Chinese
473,0,further/split,Chinese
474,0,closer/close,Chinese
475,0,equal/far,Chinese
476,0,further/split,Chinese
477,0,closer/close,Chinese
478,0,closer/close,Chinese
479,1,equal/far,Chinese
480,0,equal/far,Chinese
481,0,closer/close,Chinese
482,0,further/split,Chinese
483,0,further/split,Chinese
484,0,equal/far,Chinese
485,0,closer/close,Chinese
486,0,equal/far,Chinese
487,0,equal/far,Chinese
488,0,closer/close,Chinese
489,0,equal/far,Chinese
490,0,further/split,Chinese
491,0,closer/close,Chinese
492,0,equal/far,Chinese
493,0,further/split,Chinese
494,0,closer/close,Chinese
495,0,closer/close,Chinese
496,0,further/split,Chinese
497,0,further/split,Chinese
498,0,closer/close,Chinese
499,0,further/split,Chinese
500,0,equal/far,Chinese
501,0,closer/close,Chinese
502,0,closer/close,Chinese
503,0,closer/close,Chinese
504,0,closer/close,Chinese
505,0,closer/close,Chinese
506,0,further/split,Chinese
507,0,closer/close,Chinese
508,0,closer/close,Chinese
509,0,closer/close,Chinese
510,0,closer/close,Chinese
511,0,closer/close,Chinese
512,0,equal/far,Chinese
513,0,further/split,Chinese
514,0,equal/far,Chinese
515,0,closer/close,Chinese
516,0,further/split,Chinese
517,1,further/split,Chinese
518,0,further/split,Chinese
519,0,further/split,Chinese
520,0,equal/far,Chinese
521,0,equal/far,Chinese
522,0,closer/close,Chinese
523,1,further/split,Chinese
524,1,further/split,Chinese
525,1,further/split,Chinese
526,0,equal/far,Chinese
527,0,equal/far,Chinese
528,0,further/split,Chinese
529,0,closer/close,Chinese
530,1,closer/close,Chinese
531,0,closer/close,Chinese
532,0,closer/close,Chinese
533,0,equal/far,Chinese
534,0,further/split,Chinese
535,1,closer/close,Chinese
536,0,closer/close,Chinese
537,0,closer/close,Chinese
538,0,equal/far,Chinese
539,0,further/split,Chinese
540,0,further/split,Chinese
541,0,further/split,Chinese
542,0,closer/close,Chinese
543,0,further/split,Chinese
544,0,further/split,Chinese
545,0,equal/far,Chinese
546,0,further/split,Chinese
547,0,closer/close,Chinese
548,0,equal/far,Chinese
549,0,closer/close,Chinese
550,0,equal/far,Chinese
551,0,equal/far,Chinese
552,0,further/split,Chinese
553,0,equal/far,Chinese
554,1,closer/close,Chinese
555,0,equal/far,Chinese
556,0,closer/close,Chinese
557,0,closer/close,Chinese
558,0,equal/far,Chinese
559,0,equal/far,Chinese
560,0,closer/close,Chinese
561,0,equal/far,Chinese
562,0,equal/far,Chinese
563,0,equal/far,Chinese
564,1,equal/far,Chinese
565,0,equal/far,Chinese
566,0,equal/far,Chinese
567,1,equal/far,Chinese
568,0,closer/close,Chinese
569,1,closer/close,Chinese
570,0,closer/close,Chinese
571,0,closer/close,Chinese
572,0,further/split,Chinese
573,0,further/split,Chinese
574,0,closer/close,Chinese
575,0,closer/close,Chinese
576,1,further/split,Chinese
577,0,further/split,Chinese
578,1,closer/close,Chinese
579,0,equal/far,Chinese
580,0,equal/far,Chinese
581,1,further/split,Chinese
582,0,further/split,Chinese
583,0,further/split,Chinese
584,0,further/split,Chinese
585,0,equal/far,Chinese
586,0,further/split,Chinese
587,0,equal/far,Chinese
588,0,closer/close,Chinese
589,0,further/split,Chinese
590,0,further/split,Chinese
591,0,further/split,Chinese
592,0,closer/close,Chinese
593,0,further/split,Chinese
594,0,further/split,Chinese
595,0,further/split,Chinese
596,0,further/split,Chinese
597,0,closer/close,Chinese
598,0,closer/close,Chinese
599,1,closer/close,Chinese
600,0,further/split,Chinese
601,0,further/split,Chinese
602,0,further/split,Chinese
603,0,further/split,Chinese
604,0,further/split,Chinese
605,0,further/split,Chinese
606,0,further/split,Chinese
607,0,further/split,Chinese
608,0,further/split,Chinese
609,0,further/split,Chinese
610,0,further/split,Chinese
611,0,closer/close,Chinese
612,0,closer/close,Chinese
613,0,closer/close,Chinese
614,0,closer/close,Chinese
615,0,closer/close,Chinese
616,0,further/split,Chinese
617,0,equal/far,Chinese
618,0,equal/far,Chinese
619,0,equal/far,Chinese
620,0,equal/far,Chinese
621,0,further/split,Chinese
622,0,further/split,Chinese
623,0,further/split,Chinese
624,0,closer/close,Chinese
625,0,equal/far,Chinese
626,0,equal/far,Chinese
627,0,closer/close,Chinese
628,0,closer/close,Chinese
629,0,closer/close,Chinese
630,0,closer/close,Chinese
631,0,closer/close,Chinese
632,0,closer/close,Chinese
633,0,closer/close,Chinese
634,0,closer/close,Chinese
635,0,closer/close,Chinese
636,0,equal/far,Chinese
637,0,closer/close,Chinese
638,0,closer/close,Chinese
639,0,closer/close,Chinese
640,0,equal/far,Chinese
641,0,further/split,Chinese
642,0,further/split,Chinese
643,0,further/split,Chinese
644,0,closer/close,Chinese
645,0,closer/close,Chinese
646,0,equal/far,Chinese
647,0,equal/far,Chinese
648,0,closer/close,Chinese
649,0,closer/close,Chinese
650,0,closer/close,Chinese
651,0,further/split,Chinese
652,0,closer/close,Chinese
653,0,equal/far,Chinese
654,0,further/split,Chinese
655,0,further/split,Chinese
656,0,closer/close,Chinese
657,0,closer/close,Chinese
658,0,closer/close,Chinese
659,0,equal/far,Chinese
660,0,closer/close,Chinese
661,0,equal/far,Chinese
662,0,closer/close,Chinese
663,0,closer/close,Chinese
664,0,further/split,Chinese
665,0,equal/far,Chinese
666,0,closer/close,Chinese
667,0,closer/close,Chinese
668,0,closer/close,Chinese
669,0,equal/far,Chinese
670,0,further/split,Chinese
671,0,further/split,Chinese
672,0,further/split,Chinese
673,0,further/split,Chinese
674,0,further/split,Chinese
675,0,equal/far,Chinese
676,0,closer/close,Chinese
677,0,closer/close,Chinese
678,0,closer/close,Chinese
679,0,equal/far,Chinese
680,0,closer/close,Chinese
681,0,closer/close,Chinese
682,0,further/split,Chinese
683,0,further/split,Chinese
684,0,further/split,Chinese
685,0,further/split,Chinese
686,0,equal/far,Chinese
687,0,closer/close,Chinese
688,0,closer/close,Chinese
689,0,closer/close,Chinese
690,0,closer/close,Chinese
691,0,equal/far,Chinese
692,0,closer/close,Chinese
693,0,closer/close,Chinese
694,0,closer/close,Chinese
695,0,equal/far,Chinese
696,0,further/split,Chinese
697,0,equal/far,Chinese
698,0,equal/far,Chinese
699,0,equal/far,Chinese
700,0,equal/far,Chinese
701,0,further/split,Chinese
702,0,equal/far,Chinese
703,0,equal/far,Chinese
704,0,further/split,Chinese
705,0,equal/far,Chinese
706,0,closer/close,Chinese
707,0,equal/far,Chinese
708,0,equal/far,Chinese
709,0,equal/far,Chinese
710,0,further/split,Chinese
711,0,closer/close,Chinese
712,0,further/split,Chinese
713,0,closer/close,Chinese
714,0,further/split,Chinese
715,0,closer/close,Chinese
716,0,closer/close,Chinese
717,0,equal/far,Chinese
718,0,further/split,Chinese
719,0,equal/far,Chinese
720,0,closer/close,Chinese
721,0,further/split,Chinese
722,0,further/split,Chinese
723,0,further/split,Chinese
724,0,further/split,Chinese
725,0,closer/close,Chinese
726,0,closer/close,Chinese
727,0,equal/far,Chinese
728,0,further/split,Chinese
729,0,equal/far,Chinese
730,0,further/split,Chinese
731,0,equal/far,Chinese
732,0,equal/far,Chinese
733,0,equal/far,Chinese
734,0,closer/close,Chinese
735,0,closer/close,Chinese
736,0,equal/far,Chinese
737,0,closer/close,Chinese
738,0,equal/far,Chinese
739,0,further/split,Chinese
740,0,further/split,Chinese
741,0,equal/far,Chinese
742,0,further/split,Chinese
743,0,further/split,Chinese
744,0,further/split,Chinese
745,0,closer/close,Chinese
746,0,equal/far,Chinese
747,0,closer/close,Chinese
748,0,equal/far,Chinese
749,0,further/split,Chinese
750,0,closer/close,Chinese
751,0,equal/far,Chinese
752,0,further/split,Chinese
753,0,closer/close,Chinese
754,0,equal/far,Chinese
755,0,equal/far,Chinese
756,0,equal/far,Chinese
757,0,closer/close,Chinese
758,0,further/split,Chinese
759,0,closer/close,Chinese
760,0,closer/close,Chinese
761,0,closer/close,Chinese
762,0,equal/far,Chinese
763,0,closer/close,Chinese
764,0,closer/close,Chinese
765,0,closer/close,Chinese
766,0,further/split,Chinese
767,0,equal/far,Chinese
768,0,equal/far,Chinese
769,0,further/split,Chinese
770,0,equal/far,Chinese
771,0,equal/far,Chinese
772,0,further/split,Chinese
773,1,closer/close,Chinese
774,0,equal/far,Chinese
775,0,equal/far,Chinese
776,0,equal/far,Chinese
777,0,equal/far,Chinese
778,0,equal/far,Chinese
779,0,equal/far,Chinese
780,0,further/split,Chinese
781,0,closer/close,Chinese
782,0,closer/close,Chinese
783,0,closer/close,Chinese
784,0,closer/close,Chinese
785,0,closer/close,Chinese
786,0,closer/close,Chinese
787,0,closer/close,Chinese
788,0,equal/far,Chinese
789,0,closer/close,Chinese
790,0,further/split,Chinese
791,0,equal/far,Chinese
792,0,equal/far,Chinese
793,0,closer/close,Chinese
794,0,closer/close,Chinese
795,0,closer/close,Chinese
796,0,equal/far,Chinese
797,0,equal/far,Chinese
798,0,equal/far,Chinese
799,0,equal/far,Chinese
800,0,equal/far,Chinese
801,0,equal/far,Chinese
802,0,further/split,Chinese
803,0,equal/far,Chinese
804,0,equal/far,Chinese
805,0,equal/far,Chinese
806,0,equal/far,Chinese
807,0,equal/far,Chinese
808,0,equal/far,Chinese
809,0,equal/far,Chinese
810,0,further/split,Chinese
811,0,further/split,Chinese
812,0,further/split,Chinese
813,0,further/split,Chinese
814,0,closer/close,Chinese
815,0,closer/close,Chinese
816,0,closer/close,Chinese
817,0,equal/far,Chinese
818,0,further/split,Chinese
819,1,further/split,Chinese
820,0,equal/far,Chinese
821,0,further/split,Chinese
822,0,closer/close,Chinese
823,0,closer/close,Chinese
824,0,closer/close,Chinese
825,1,closer/close,Chinese
826,0,closer/close,Chinese
827,0,equal/far,Chinese
828,0,closer/close,Chinese
829,0,further/split,Chinese
830,0,closer/close,Chinese
831,0,further/split,Chinese
832,0,further/split,Chinese
833,0,further/split,Chinese
834,0,further/split,Chinese
835,0,further/split,Chinese
836,0,equal/far,Chinese
837,0,equal/far,Chinese
838,0,equal/far,Chinese
839,0,closer/close,Chinese
840,0,closer/close,Chinese
841,0,further/split,Chinese
842,0,closer/close,Chinese
843,0,equal/far,Chinese
844,0,closer/close,Chinese
845,0,closer/close,Chinese
846,0,equal/far,Chinese
847,0,equal/far,Chinese
848,0,closer/close,Chinese
849,0,closer/close,Chinese
850,0,closer/close,Chinese
851,0,closer/close,Chinese
852,0,further/split,Chinese
853,0,further/split,Chinese
854,0,further/split,Chinese
855,0,further/split,Chinese
856,0,further/split,Chinese
857,0,closer/close,Chinese
858,0,closer/close,Chinese
859,0,closer/close,Chinese
860,0,closer/close,Chinese
861,0,equal/far,Chinese
862,0,equal/far,Chinese
863,0,equal/far,Chinese
864,0,further/split,Chinese
865,1,further/split,Chinese
866,0,equal/far,Chinese
867,0,equal/far,Chinese
868,0,equal/far,Chinese
869,0,equal/far,Chinese
870,0,equal/far,Chinese
871,0,further/split,Chinese
872,0,equal/far,Chinese
873,0,further/split,Chinese
874,0,further/split,Chinese
875,0,further/split,Chinese
876,0,further/split,Chinese
877,0,closer/close,Chinese
878,0,closer/close,Chinese
879,0,closer/close,Chinese
880,0,closer/close,Chinese
881,0,closer/close,Chinese
882,0,closer/close,Chinese
883,0,further/split,Chinese
884,0,further/split,Chinese
885,0,further/split,Chinese
886,0,further/split,Chinese
887,0,further/split,Chinese
888,0,closer/close,Chinese
889,0,closer/close,Chinese
890,0,closer/close,Chinese
891,1,closer/close,Chinese
892,0,equal/far,Chinese
893,0,equal/far,Chinese
894,0,equal/far,Chinese
895,1,further/split,Chinese
896,0,closer/close,Chinese
897,1,closer/close,Chinese
898,0,further/split,Chinese
899,0,closer/close,Chinese
900,0,equal/far,Chinese
901,0,further/split,Chinese
902,0,further/split,Chinese
903,0,equal/far,Chinese
904,0,closer/close,Chinese
905,0,equal/far,Chinese
906,0,closer/close,Chinese
907,0,closer/close,Chinese
908,0,closer/close,Chinese
909,1,closer/close,Chinese
910,0,closer/close,Chinese
911,0,equal/far,Chinese
912,0,equal/far,Chinese
913,0,equal/far,Chinese
914,0,further/split,Chinese
915,0,equal/far,Chinese
916,0,further/split,Chinese
917,0,closer/close,Chinese
918,0,closer/close,Chinese
919,0,closer/close,Chinese
920,0,further/split,Chinese
921,0,further/split,Chinese
922,0,further/split,Chinese
923,0,closer/close,Chinese
924,0,closer/close,Chinese
925,0,further/split,Chinese
926,0,closer/close,Chinese
927,0,further/split,Chinese
928,0,equal/far,Chinese
929,0,further/split,Chinese
930,0,further/split,Chinese
931,0,further/split,Chinese
932,0,closer/close,Chinese
933,0,closer/close,Chinese
934,0,closer/close,Chinese
935,0,closer/close,Chinese
936,0,closer/close,Chinese
937,0,further/split,Chinese
938,0,equal/far,Chinese
939,0,closer/close,Chinese
940,0,closer/close,Chinese
941,0,closer/close,Chinese
942,0,further/split,Chinese
943,0,equal/far,Chinese
944,0,closer/close,Chinese
945,0,closer/close,Chinese
946,0,closer/close,Chinese
947,0,closer/close,Chinese
948,0,closer/close,Chinese
949,0,closer/close,Chinese
950,0,closer/close,Chinese
951,0,further/split,Chinese
952,0,closer/close,Chinese
953,1,closer/close,Chinese
954,0,closer/close,Chinese
955,0,further/split,Chinese
956,0,closer/close,Chinese
957,0,closer/close,Chinese
958,0,closer/close,Chinese
959,0,equal/far,Chinese
960,0,equal/far,Chinese
961,0,closer/close,Chinese
962,0,further/split,Chinese
963,0,equal/far,Chinese
964,0,further/split,Chinese
965,0,equal/far,Chinese
966,0,closer/close,Chinese
967,0,closer/close,Chinese
968,0,closer/close,Chinese
969,0,closer/close,Chinese
970,0,closer/close,Chinese
971,0,closer/close,Chinese
972,0,closer/close,Chinese
973,0,equal/far,Chinese
974,0,equal/far,Chinese
975,0,further/split,Chinese
976,0,closer/close,Chinese
977,1,closer/close,Chinese
978,0,closer/close,Chinese
979,0,further/split,Chinese
980,0,further/split,Chinese
981,0,further/split,Chinese
982,0,further/split,Chinese
983,0,further/split,Chinese
984,0,further/split,Chinese
985,0,further/split,Chinese
986,0,equal/far,Chinese
987,0,further/split,Chinese
988,0,closer/close,Chinese
989,0,closer/close,Chinese
990,0,further/split,Chinese
991,1,further/split,Chinese
992,1,further/split,Chinese
993,0,closer/close,Chinese
994,0,closer/close,Chinese
995,0,equal/far,Chinese
996,0,closer/close,Chinese
997,1,closer/close,Chinese
998,0,closer/close,Chinese
999,0,equal/far,Chinese
1000,0,further/split,Chinese
1001,0,closer/close,Chinese
1002,1,closer/close,Chinese
1003,0,equal/far,Chinese
1004,0,further/split,Chinese
1005,0,closer/close,Chinese
1006,0,equal/far,Chinese
1007,0,equal/far,Chinese
1008,0,further/split,Chinese
1009,0,equal/far,Chinese
1010,0,equal/far,Chinese
1011,0,further/split,Chinese
1012,0,equal/far,Chinese
1013,0,equal/far,Chinese
1014,0,further/split,Chinese
1015,0,further/split,Chinese
1016,0,equal/far,Chinese
1017,0,equal/far,Chinese
1018,0,equal/far,Chinese
1019,0,closer/close,Chinese
1020,0,closer/close,Chinese
